T,M,Time
1,1,0.417952
1,10,16.187148
1,20,30.287963
1,30,44.301611
1,40,50.636338
1,50,60.965773
1,100,61.045105
10,1,0.223231
10,10,2.1422474
10,20,3.6216346
10,30,4.9897224
10,40,5.648827
10,50,6.6138914
10,100,6.5857586
20,1,0.221471
20,10,1.2738204
20,20,2.2217728
20,30,2.7334874
20,40,3.1688712
20,50,3.6485726
20,100,3.676636
